ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,LGR_Conformance,Comment,Source,Reference_Label,label,Movement_Gloss
6-14-5-1-477-42-1,kove,voŋivoŋi tolu aia,voŋivoŋi	tolu	ai-a,morning	three	P:3SG-PCL,the third morning,,,,Sato2012[197],Sato 2012:197,,
6-14-5-1-477-43-1,bauanfijian,na kena ikatolu ni ŋone,na	ke-na	ika-tolu	ni	ŋone,ART	PCL-3SG	ORDINAL-3	PREP	child,the third child,,,,Wilson1982[103],Wilson 1982:103,a.,
6-14-5-1-477-43-2,tongan,hono tolu ʔo e himi,h-o-no	tolu	ʔo	e	himi,ART-PCL-3SG	three	PCL	ART	hymn,the third hymn,,,,Wilson1982[103],Wilson 1982:103,b.,
6-14-5-1-477-43-3,samoan,le potumoe lona lua,le	potu-moe	l-o-na	lua,ART	room-sleep	ART-PCL-3SG	two,the second bedroom,,,,MoselandHovdhaugen1992[118],Mosel & Hovdhaugen 1992:118,b.,
6-14-5-1-477-43-4,takuu,te toru nā aso,te	toru	nā	aso,ART:SG	three	ART:PL	day,the third day,,,,Moyleetal2011[35],Moyle 2011:35,c.,
6-14-6-3-492-44-1,belep,gonem ûjep,go-nem	ûjep,CLF-5	sugarcane,5 cords of sugarcane,,,_go-_ ‘cord of 10 pieces of sugarcane’,McCracken2012[297–298],McCracken 2012:297–298,a.,
6-14-6-3-492-44-2,samoan,onoŋaoa popo,ono-ŋa-oa	popo,6-LIG-CLF	coconuts,12 coconuts,,,_oa-_ ‘pair of coconuts or young pigs’,MoselandHovdhaugen1992[248],Mosel & Hovdhaugen 1992:248,b.,
6-14-6-3-492-44-3,tuam,īɣ parapināŋ ēz,īɣ	parapināŋ	ēz,fish	CLF	one,two fish,,,_parapināŋ_ ‘pair of fish’,BugenhagenandBugenhagen2007,Bugenhagen & Bugenhagen 2007,c.,
6-14-6-3-493-45-1,lengo,e ŋiða na ɣaivolo ni pana?,e	ŋiða	na	ɣaivolo	ni	pana?,3SG	how.many	ART	CLF	ASSOC	lesser.yam,How many garden.rows of short yams [are in your garden]?,,,ɣaivolo ‘10 garden rows’,HillandUnger2018[130],Hill & Unger 2018:130,,
6-14-6-3-493-46-1,saa,kʷaʔui ʔusu,kʷaʔu-i	ʔusu,CLF-ASSOC	dog,four dogs' teeth,,,_kʷaʔu_ ‘4 dog’s teeth’,Ivens1918,Ivens 1918,,
6-14-6-9-507-47-1,tongan,hatauaʔi niu,ha-taua-ʔi	niu,one-CLF-ASSOCIATIVE	coconut,one pair of coconuts,,,,,,a.,
6-14-6-9-507-47-2,toabaita,teʔe kobiʔi tāfuliʔae,teʔe	kobi-ʔi	tāfuliʔae,one	CLF-ASSOCIATIVE	set.of.shell.money,10 sets of shell money,,,_kobi-ʔi_ ‘ a ten of’,Lichtenberk2008b[300],Lichtenberk 2008b:300,b.,
6-14-6-9-507-47-3,lengo,sakai na paga ni iɣa,sakai	na	paga	ni	iɣa,one	ART	CLF	ASSOCIATIVE	fish,one “ten-animals” of fish,,,_paga_ ‘ten animals’,HillandUnger2018[131],Hill & Unger 2018:131,c.,
6-15-4-4-524-48-1,matukar,numau gudun yawayawa,numa-u	gudu-n	yawayawa,hand-my	nape-its	4,4 wrists,,,i.e. 20,,,a.,
6-15-4-4-524-48-2,matukar,neu da numau da,ne-u	da	numa-u	da,foot-my	with	hand-my	with,my feet and my hands,,,i.e. 20 digits,,,b.,
6-15-4-4-524-48-3,matukar,neu aru,ne-u	aru,foot-my	two,my two feet,,,abbreviated from ‘my two feet and my two hands’?,,,c.,
6-16-2-None-551-49-1,woleaian,warixumʷ ṣal,wari-xumʷ	ṣal,eight-CLF:mouthful	water,eight mouthfuls of water,,,,Sohn1975[202],Sohn 1975:202,,
6-16-2-None-551-50-1,woleaian,seriix fʷuk,seri-ix	fʷuk,three-CLF:ten	book,thirty books,,,,Sohn1975[204],Sohn 1975:204,,
6-16-2-None-551-51-1,woleaian,sexatt fʷurax,se-xatt	fʷurax,one-CLF:finger	swamp.taro,a swamp taro of one finger-length,,,,Sohn1975[61],Sohn 1975:61,,
6-16-4-None-553-52-1,puluwatese,walɨŋaf,walɨ-ŋaf,eight-CLF:fathom,eight fathoms,,,,Elbert1974[112],Elbert 1974:112,a.,
6-16-4-None-553-52-2,puluwatese,walūw ŋāf,wal-ūw	ŋāf,eight-CLF:default	fathom,eight fathoms,,,,Elbert1974[112],Elbert 1974:112,b.,
